crisis_id,crisis_name,type_of_crisis,regional_or_country,country_level,individual_aggregated,website_name,iso3,country,regions,INFORM Severity Index,INFORM Severity category (numeric),INFORM Severity category,Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of affected people,People in need,Concentration of conditions,Complexity,Society and safety,Operating environment,Last updated,mon,year
REG008,Western Mediterranean Route,Regional crisis,Regional,,Individual,Western Mediterranean Route,DZA|MAR|ESP,Algeria|Morocco|Spain,Africa|Africa|Europe,,,,Very Low,,,3.2,,,,2.4,2.7,2,2020-12-17,Dec,2020
REG011,Rohingya Regional Crisis,Regional crisis,Regional,No,Individual,Rohingya Regional Crisis,BGD|MMR,Bangladesh|Myanmar,Asia|Asia,3.6,4,High,Very High,3,1.4,3.6,3.9,3.7,4,3.6,3.1,4,2020-12-16,Dec,2020
REG012,Southern Africa Regional Food Security Crisis,Regional crisis,Regional,,Individual,Southern Africa Regional Food Security Crisis,LSO|MDG|MWI|NAM|SWZ|ZMB|ZWE|TZA,Lesotho|Madagascar|Malawi|Namibia|Eswatini|Zambia|Zimbabwe|Tanzania,Africa|Africa|Africa|Africa|Africa|Africa|Africa|Africa,3.5,4,High,Very High,2.9,3.5,2.6,4,5,3,3.1,2.6,3.5,2020-12-17,Dec,2020
REG013,Nagorno-Karabakh Conflict,Regional crisis,Regional,,Individual,Regional Nagorno-Karabakh Conflict,ARM|AZE,Armenia|Azerbaijan,Middle east|Middle east,,,,High,3.2,2.6,3.4,,,,2.8,2.6,3,2020-12-22,Dec,2020
RWA002,Burundi and DRC refugees in Rwanda,International displacement,Country,Yes,Individual,Refugees,RWA,Rwanda,Africa,2,2,Low,Medium,2.6,2.1,2.8,1.5,2,1,2.1,2.6,1.5,2020-12-01,Dec,2020
SDN001,Complex crisis in Sudan,Multiple crises country,Country,Yes,Aggregated,Complex crisis,SDN,Sudan,Africa,4.5,5,Very High,High,4.2,4.8,3.8,5,4.9,5,4,3.9,4,2020-12-01,Dec,2020
SDN005,Refugees in Sudan,International displacement,Country,No,Individual,Refugees,SDN,Sudan,Africa,4.1,5,Very High,Medium,3.9,0.6,4.7,4.2,3.4,5,4,3.9,4,2020-12-01,Dec,2020
SDN006,Floods in Sudan ,Flood,Country,No,Individual,Floods,SDN,Sudan,Africa,2.6,3,Medium,Medium,3.8,4.8,3.1,1.1,1.2,1,3.5,3.9,3,2020-12-01,Dec,2020
SEN002,Drought in Senegal,Drought,Country,Yes,Individual,Drought,SEN,Senegal,Africa,2.4,3,Medium,High,2.7,4.5,1.2,2.4,2.8,2,2.2,1.8,2.5,2020-12-17,Dec,2020
SLV001,Complex crisis in El Salvador,Complex crisis,Country,Yes,Individual,Complex crisis,SLV,El Salvador,Americas,3,3,Medium,High,3.6,3.8,3.5,3,3,3,2.5,2.4,2.5,2020-12-01,Dec,2020
SOM001,Complex crisis in Somalia,Complex crisis,Country,Yes,Individual,Complex crisis,SOM,Somalia,Africa,4,4,High,High,4.7,4.6,4.8,3.5,3.9,3,4.2,3.9,4.5,2020-12-01,Dec,2020
SOM002,Mixed Migration Flows in Somalia,International displacement,Country,No,Individual,Mixed Migration,SOM,Somalia,Africa,1.9,2,Low,Medium,1.8,0.8,2.2,1,0.9,1,3.3,3.9,2.5,2020-12-01,Dec,2020
SOM004,Floods in Somalia,Flood,Country,No,Individual,Floods,SOM,Somalia,Africa,3.2,4,High,High,2.9,3.4,2.6,3,3,3,3.7,3.9,3.5,2020-12-01,Dec,2020
SSD001,Complex crisis in South Sudan,Complex crisis,Country,Yes,Individual,Complex crisis,SSD,South Sudan,Africa,4.3,5,Very High,Medium,4.7,4.6,4.7,4.4,4.8,4,3.9,3.7,4,2020-12-01,Dec,2020
SWZ001,Food Security Crisis in Eswatini,Food Security,Country,Yes,Individual,Food Security Crisis,SWZ,Eswatini,Africa,2.7,3,Medium,Medium,2.2,3.1,1.6,3.3,2.6,4,2.1,3,1,2020-12-01,Dec,2020
SYR001,Syrian conflict,Complex crisis,Country,Yes,Individual,Conflict,SYR,Syria,Middle east,4.9,5,Very High,Medium,4.8,4.5,4.9,5,5,5,4.8,4.5,5,2020-12-01,Dec,2020
TCD001,Complex crisis in Chad,Multiple crises country,Country,Yes,Aggregated,Complex crisis,TCD,Chad,Africa,4.1,5,Very High,High,3.9,4.8,3.3,4.4,4.7,4,3.7,3.4,4,2020-12-22,Dec,2020
TCD003,Boko Haram in Chad,Conflict,Country,No,Individual,Boko Haram ,TCD,Chad,Africa,3.6,4,High,High,3.1,0.6,3.9,3.8,2.6,5,3.7,3.4,4,2020-12-22,Dec,2020
TCD004,CAR refugees in Chad,International displacement,Country,No,Individual,CAR refugees,TCD,Chad,Africa,3.3,4,High,Medium,2.8,1.9,3.2,3.7,3.3,4,3.2,3.4,3,2020-12-22,Dec,2020
TCD005,Darfur refugees in Chad,International displacement,Country,No,Individual,Darfur refugees,TCD,Chad,Africa,3.2,4,High,High,2.4,1.7,2.7,3.7,3.4,4,3,3.4,2.5,2020-12-22,Dec,2020
TCD006,Tibesti Conflict in Chad,Conflict,Country,No,Individual,Tibesti conflict,TCD,Chad,Africa,2.5,3,Medium,Medium,2.6,1.3,3.1,2.2,0.4,4,3,3.4,2.5,2020-12-22,Dec,2020
TCD008,Floods in Chad,Flood,Country,No,Individual,Floods,TCD,Chad,Africa,2.6,3,Medium,High,2.9,4.1,2,1.7,2.4,1,3.7,3.4,4,2020-12-22,Dec,2020
THA001,Multiple situations in Thailand,Multiple crises country,Country,Yes,Aggregated,Country level,THA,Thailand,Asia,2.1,3,Medium,High,2.6,1.2,3.2,1.8,1.6,2,2.3,2.6,2,2020-12-01,Dec,2020
THA002,Conflict in southern Thailand ,Conflict,Country,No,Individual,Conflict,THA,Thailand,Asia,,,,Low,2.6,1.1,3.2,,,,2.1,2.6,1.5,2020-12-01,Dec,2020
THA003,Myanmar refugees in Thailand,International displacement,Country,No,Individual,Refugees,THA,Thailand,Asia,2.3,3,Medium,High,2.5,0,3.4,2.3,1.6,3,2.1,2.6,1.5,2020-12-01,Dec,2020
TTO002,Venezuelan refugees in Trinidad and Tobago,International displacement,Country,Yes,Individual,Venezuelan refugees,TTO,Trinidad and Tobago,Americas,1.7,2,Low,Medium,2.6,2.9,2.4,1.2,1.3,1,1.7,1.9,1.5,2020-12-01,Dec,2020
TUN002,Mixed migration flows in Tunisia,International displacement,Country,Yes,Individual,Mixed Migration,TUN,Tunisia,Africa,,,,Low,4,4.3,3.9,,,,1.7,2.3,1,2020-12-01,Dec,2020
TUR001,Complex situation in Turkey,Multiple crises country,Country,Yes,Aggregated,Country level,TUR,Turkey,Middle east,3.3,4,High,High,3.7,3.8,3.7,3,3.9,2,3.4,3.3,3.5,2020-12-22,Dec,2020
TUR002,Syrian Refugees in Turkey,International displacement,Country,No,Individual,Syrian refugees,TUR,Turkey,Middle east,3.3,4,High,High,3.6,2.9,3.9,3.4,3.8,3,2.9,3.3,2.5,2020-12-22,Dec,2020
TUR003,Mixed Migration Flows in Turkey,International displacement,Country,No,Individual,Mixed Migration,TUR,Turkey,Middle east,3.2,4,High,High,3.1,3.1,3.1,3.5,3.9,3,2.9,3.3,2.5,2020-12-22,Dec,2020
TUR004,Kurdish Conflict,Conflict,Country,No,Individual,Kurdish conflict,TUR,Turkey,Middle east,,,,Medium,3.3,2.4,3.7,,,,2.9,3.3,2.5,2020-12-01,Dec,2020
TZA002,International Displacement in Tanzania,International displacement,Country,No,Individual,Refugees,TZA,Tanzania,Africa,1.7,2,Low,High,2,2.3,1.9,1.7,2.4,1,1.6,1.7,1.5,2020-12-01,Dec,2020
UGA001,Multiple crises in Uganda,Multiple crises country,Country,No,Aggregated,Country level,UGA,Uganda,Africa,3.1,4,High,High,3.1,2.9,3.2,3.3,3.6,3,2.8,3,2.5,2020-12-01,Dec,2020
UGA005,International Displacement in Uganda,International displacement,Country,Yes,Individual,Refugees,UGA,Uganda,Africa,3.1,4,High,High,3.3,2.1,3.7,3.3,3.6,3,2.5,3,2,2020-12-01,Dec,2020
UKR002,Conflict in Ukraine,Conflict,Country,Yes,Individual,Conflict,UKR,Ukraine,Europe,3.5,4,High,High,3.2,1.7,3.7,4.1,4.2,4,2.6,2.1,3,2020-12-22,Dec,2020
VEN001,Complex crisis in Venezuela,Complex crisis,Country,Yes,Individual,Complex crisis,VEN,Venezuela,Americas,4,4,High,High,5,4.9,5,4,5,3,3.1,3.6,2.5,2020-12-01,Dec,2020
VNM002,Floods in central Vietnam,Flood,Country,Yes,Individual,Floods in central Vietnam,VNM,Vietnam,Asia,2.4,3,Medium,Very High,2.9,1.9,3.3,2.1,2.1,2,2.5,3.3,1.5,2020-12-01,Dec,2020
VUT002,Cyclone Harold in Vanuatu,Tropical cyclone,Country,Yes,Individual,Cyclone Harold,VUT,Vanuatu,Pacific,2,2,Low,High,2.3,2.6,2.2,2.4,1.8,3,1.1,1.1,1,2020-12-01,Dec,2020
YEM001,Conflict in Yemen,Complex crisis,Country,Yes,Individual,Complex crisis,YEM,Yemen,Middle east,4.6,5,Very High,High,4.9,4.9,4.9,4.5,5,4,4.5,3.8,5,2020-12-01,Dec,2020
YEM002,Mixed migration flows in Yemen,International displacement,Country,No,Individual,Mixed Migration,YEM,Yemen,Middle east,2.9,3,Medium,Medium,2,0.7,2.5,2.9,2.7,3,3.7,3.8,3.5,2020-12-01,Dec,2020
ZMB002,Drought in Zambia,Drought,Country,Yes,Individual,Drought,ZMB,Zambia,Africa,2.7,3,Medium,Medium,2.4,3.1,2,3.4,3.7,3,1.7,1.8,1.5,2020-12-17,Dec,2020
ZWE001,Complex crisis in Zimbabwe,Complex crisis,Country,Yes,Individual,Complex crisis,ZWE,Zimbabwe,Africa,3.5,4,High,Very High,3.2,4.6,2.2,3.9,4.7,3,3.2,2.9,3.5,2020-12-01,Dec,2020
AFG001,Complex crisis in Afghanistan,Complex crisis,Country,Yes,Individual,Complex crisis,AFG,Afghanistan,Asia,4.6,5,Very High,Very High,5,4.9,5,4.5,5,4,4.3,4,4.5,2021-01-27,Jan,2021
ARM002,Nagorno-Karabakh Conflict in Armenia,Conflict,Country,Yes,Individual,Nagorno-Karabakh Conflict in Armenia,ARM,Armenia,Middle east,1.7,2,Low,Very High,2.4,3.5,1.7,1.3,1.6,1,1.7,1.8,1.5,2021-01-27,Jan,2021
AZE002,Nagorno-Karabakh conflict in Azerbaijan,Conflict,Country,Yes,Individual,Nagorno-Karabakh conflict in Azerbaijan,AZE,Azerbaijan,Middle east,,,,Medium,2.9,2.5,3.1,,,,3,2.9,3,2021-01-27,Jan,2021
BDI001,Complex in Burundi,Complex crisis,Country,Yes,Individual,Complex crisis ,BDI,Burundi,Africa,3.3,4,High,High,3.4,4,3,3.3,3.5,3,3.3,3.1,3.5,2021-01-29,Jan,2021
BFA002,Conflict in Burkina Faso,Conflict,Country,Yes,Individual,Conflict,BFA,Burkina Faso,Africa,3.9,4,High,High,3.8,2.9,4.1,4.5,3.9,5,3.1,2.7,3.5,2021-01-27,Jan,2021
BFA003,Floods in Burkina Faso,Flood,Country,No,Individual,Floods,BFA,Burkina Faso,Africa,2.4,3,Medium,High,3.3,4.6,2.4,1.1,1.2,1,3.4,2.7,4,2021-01-27,Jan,2021
BFA004,Multiple crises in Burkina Faso,Multiple crises country,Country,No,Aggregated,Multiple crises,BFA,Burkina Faso,Africa,3.8,4,High,High,4,4.6,3.7,4,3.9,4,3.4,2.7,4,2021-01-27,Jan,2021
BGD002,Rohingya refugee crisis,International displacement,Country,Yes,Individual,Rohingya Refugees,BGD,Bangladesh,Asia,3.2,4,High,Very High,2.7,0.1,3.6,3.6,3.2,4,3,2.5,3.5,2021-01-27,Jan,2021
BRA002,Venezuela displacement in Brazil,International displacement,Country,No,Individual,Venezuelan refugees,BRA,Brazil,Americas,2.5,3,Medium,High,2.3,1.2,2.8,2.9,2.8,3,1.9,2.2,1.5,2021-01-29,Jan,2021
CAF001,Complex crisis in CAR,Complex crisis,Country,Yes,Individual,Complex crisis,CAF,CAR,Africa,4,4,High,High,4.2,4.3,4.1,4.1,4.1,4,3.9,3.7,4,2021-01-27,Jan,2021
CMR001,Multiple crises in Cameroon,Multiple crises country,Country,Yes,Aggregated,Country level,CMR,Cameroon,Africa,3.7,4,High,Very High,3.8,3.2,4,3.4,3.8,3,4.1,3.5,4.5,2021-01-29,Jan,2021
CMR002,Boko Haram in Cameroon,Conflict,Country,No,Individual,Boko Haram,CMR,Cameroon,Africa,3.2,4,High,Very High,3.2,1.5,3.8,3.1,3.2,3,3.5,3.5,3.5,2021-01-29,Jan,2021
CMR003,Anglophone Crisis in Cameroon,Conflict,Country,No,Individual,Anglophone crisis,CMR,Cameroon,Africa,3.3,4,High,Very High,3.2,1.7,3.7,3,3,3,3.8,3.5,4,2021-01-29,Jan,2021
CMR004,CAR refugees in Cameroon,International displacement,Country,No,Individual,CAR refugees,CMR,Cameroon,Africa,2.8,3,Medium,High,2.8,1.7,3.2,2.8,2.5,3,3,3.5,2.5,2021-01-29,Jan,2021
COD001,Complex crisis in DRC,Complex crisis,Country,Yes,Individual,Complex crisis,COD,DRC,Africa,4.5,5,Very High,High,4.5,5,4.1,4.5,5,4,4.4,4.3,4.5,2021-01-27,Jan,2021
COD003,Floods in south-eastern DRC,Flood,Country,No,Individual,Floods,COD,DRC,Africa,2.6,3,Medium,Low,1.8,2.9,1.1,2,2.9,1,4.2,4.3,4,2020-12-01,Jan,2021
COG001,Complex crisis in Congo,Complex crisis,Country,Yes,Individual,Complex crisis,COG,Congo,Africa,3.2,4,High,Medium,3.6,4.2,3.3,3.3,3.5,3,2.7,2.8,2.5,2021-01-29,Jan,2021
COG004,Floods in Congo,Flood,Country,No,Individual,Floods,COG,Congo,Africa,2.2,3,Medium,Low,1.5,1.1,1.8,2.3,1.6,3,2.4,2.8,2,2020-12-01,Jan,2021
COL001,Complex crisis in Colombia,Complex crisis,Country,Yes,Individual,Complex crisis,COL,Colombia,Americas,3.9,4,High,High,4.2,5,3.6,4,4.9,3,3.5,2.9,4,2021-01-28,Jan,2021
COL002,Venezuela displacement in Colombia,International displacement,Country,No,Individual,Venezuelan refugees ,COL,Colombia,Americas,3.4,4,High,High,3.6,2.7,4,3.7,4.3,3,3,2.9,3,2021-01-28,Jan,2021
COL003,Hurricane Eta and Iota in Colombia,Tropical cyclone,Country,No,Individual,Hurricane Eta and Iota,COL,Colombia,Americas,2.1,3,Medium,High,2.5,3.3,2.1,1.2,1.4,1,3,2.9,3,2021-01-28,Jan,2021
CRI002,Nicaraguan refugees in Costa Rica,International displacement,Country,Yes,Individual,Nicaraguan refugees,CRI,Costa Rica,Americas,1.2,2,Low,High,1.3,1,1.5,1.1,1.1,1,1.2,0.9,1.5,2021-01-28,Jan,2021
DJI001,Multiple crises in Djibouti,Multiple crises country,Country,Yes,Aggregated,Country level,DJI,Djibouti,Africa,3,3,Medium,Medium,2.1,3.1,1.5,3.3,2.5,4,3.2,2.8,3.5,2020-12-01,Jan,2021
DJI002,Mixed migration in Djibouti,International displacement,Country,No,Individual,Mixed Migration,DJI,Djibouti,Africa,1.8,2,Low,Medium,2.6,3.1,2.3,0.9,0.8,1,2.4,2.8,2,2020-12-01,Jan,2021
DJI003,Drought in Djibouti,Drought,Country,No,Individual,Drought,DJI,Djibouti,Africa,3.1,4,High,Medium,2.8,3.1,2.7,3.3,2.5,4,3.2,2.8,3.5,2020-12-01,Jan,2021
DZA002,Mixed migration flows in Algeria,International displacement,Country,No,Individual,Mixed Migration,DZA,Algeria,Africa,,,,Very Low,4.4,5,4,,,,2.5,3,2,2020-12-01,Jan,2021
DZA003,Sahrawi refugees in Algeria,International displacement,Country,No,Individual,Sahrawi refugees,DZA,Algeria,Africa,2.3,3,Medium,Medium,2.2,1.1,2.6,2.3,1.6,3,2.3,3,1.5,2020-12-01,Jan,2021
DZA004,Multiple crises in Algeria,Multiple crises country,Country,Yes,Aggregated,Country level,DZA,Algeria,Africa,,,,Low,4.4,5,4,,,,2.5,3,2,2020-12-01,Jan,2021
ECU002,Venezuela displacement in Ecuador,International displacement,Country,Yes,Individual,Venezuelan refugees ,ECU,Ecuador,Americas,2.3,3,Medium,High,1.9,1.4,2.2,2.9,2.7,3,1.8,2.1,1.5,2021-01-29,Jan,2021
EGY002,Syrian Refugee Crisis in Egypt,International displacement,Country,Yes,Individual,Refugee crisis,EGY,Egypt,Africa,3.1,4,High,High,2.5,2.4,2.5,3.6,4.2,3,2.7,3.3,2,2021-01-29,Jan,2021
ERI001,Complex crisis in Eritrea,Complex crisis,Country,Yes,Individual,Complex crisis,ERI,Eritrea,Africa,3.7,4,High,High,3.4,3.8,3.1,3.5,4,3,4.1,2.6,5,2021-01-29,Jan,2021
ESP002,Mixed migration flows in spain,International displacement,Country,Yes,Individual,Mixed Migration,ESP,Spain,Europe,1.5,2,Low,High,2.4,2.2,2.5,1,1,1,1.5,2,1,2021-01-28,Jan,2021
ETH001,Complex crisis in Ethiopia,Complex crisis,Country,Yes,Individual,Complex crisis,ETH,Ethiopia,Africa,4.1,5,Very High,High,4,4.3,3.9,4.5,4.9,4,3.7,3.4,4,2020-12-01,Jan,2021
ETH002,Flood Crisis in Ethiopia,Flood,Country,No,Individual,Floods,ETH,Ethiopia,Africa,2.6,3,Medium,High,3,4.1,2.3,1.9,2.7,1,3.5,3.4,3.5,2020-12-01,Jan,2021
ETH003,International Displacement,International displacement,Country,No,Individual,International Displacement,ETH,Ethiopia,Africa,2.9,3,Medium,Medium,3.7,4.4,3.3,2.1,3.1,1,3.5,3.4,3.5,2020-12-01,Jan,2021
ETH004,Northern Ethiopia Conflict,Conflict,Country,No,Individual,Northern Ethiopia Conflict,ETH,Ethiopia,Africa,3.7,4,High,High,3.1,1.4,3.7,3.8,4.5,3,4,3.4,4.5,2021-01-27,Jan,2021
FJI002,Tropical cyclone Yasa in Fiji,Tropical cyclone,Country,Yes,Individual,Tropical cyclone Yasa,FJI,Fiji,Pacific,1.4,2,Low,High,1.7,3.1,0.8,1.1,0.2,2,1.7,1.9,1.5,2021-01-29,Jan,2021
GRC002,Mixed migration flows in Greece,International displacement,Country,Yes,Individual,Mixed Migration,GRC,Greece,Europe,1.8,2,Low,High,2.1,0.3,2.8,1.8,0.5,3,1.7,1.8,1.5,2021-01-28,Jan,2021
GTM001,Complex crisis in Guatemala,Complex crisis,Country,Yes,Individual,Complex crisis,GTM,Guatemala,Americas,3.4,4,High,High,3.7,4.3,3.4,3.6,4.2,3,2.7,3.3,2,2021-01-28,Jan,2021
GTM003,Hurricane Eta and Iota in Guatemala,Tropical cyclone,Country,No,Individual,Hurricane Eta and Iota,GTM,Guatemala,Americas,3.1,4,High,Very High,2.9,3.6,2.4,3.4,3.8,3,2.7,3.3,2,2021-01-28,Jan,2021
HND001,Complex crisis in Honduras,Complex crisis,Country,Yes,Individual,Complex crisis,HND,Honduras,Americas,3.3,4,High,High,3.7,4.2,3.4,3.3,3.5,3,3.1,3.1,3,2021-01-28,Jan,2021
HND002,Hurricane Eta and Iota in Honduras,Tropical cyclone,Country,No,Individual,Hurricane Eta and Iota,HND,Honduras,Americas,3.3,4,High,Very High,3.2,3.9,2.7,3.6,4.1,3,3.1,3.1,3,2021-01-28,Jan,2021
HTI001,Complex crisis in Haiti,Complex crisis,Country,Yes,Individual,Complex crisis,HTI,Haiti,Americas,3.5,4,High,High,3.2,3.9,2.7,4.2,4.3,4,2.5,2.9,2,2021-01-28,Jan,2021
IDN002,Papua Conflict,Conflict,Country,Yes,Individual,Papua Conflict,IDN,Indonesia,Asia,,,,Low,2.7,1.9,3.1,,,,2.9,2.8,3,2021-01-27,Jan,2021
IDN006,Sulawesi Earthquake,Earthquake,Country,No,Individual,Sulawesi Earthquake,IDN,Indonesia,Asia,2.1,3,Medium,Very High,2.1,0.4,2.7,2.3,1.6,3,1.8,2.8,0.5,2021-01-31,Jan,2021
IDN007,Country Level,Multiple crises country,Country,No,Aggregated,Country Level,IDN,Indonesia,Asia,2.1,3,Medium,High,2.8,2,3.1,1.8,1.6,2,2,2.8,1,2021-01-31,Jan,2021
IND002,Conflict in Jammu and Kashmir,Conflict,Country,Yes,Individual,Kashmir conflict ,IND,India,Asia,,,,Medium,2.9,2,3.3,,,,2.9,2.7,3,2021-01-27,Jan,2021
IRN004,Afghan Refugees in Iran,International displacement,Country,Yes,Individual,Afghan Refugees,IRN,Iran,Middle east,3.4,4,High,Medium,2.8,2.7,2.8,4.1,4.1,4,2.7,2.8,2.5,2020-12-01,Jan,2021
IRQ001,Multiple crises in Iraq,Multiple crises country,Country,Yes,Aggregated,Country level,IRQ,Iraq,Middle east,3.9,4,High,Very High,4,4.9,3.3,3.7,4.4,3,4,3.4,4.5,2021-01-28,Jan,2021
IRQ002,Conflict  in Iraq,Conflict,Country,No,Individual,Conflict,IRQ,Iraq,Middle east,4.1,5,Very High,Very High,3.9,3.6,4.1,4.2,4.4,4,4,3.4,4.5,2021-01-28,Jan,2021
IRQ003,Syrian and Palestinian refugees in iraq,International displacement,Country,No,Individual,Syrian Refugees,IRQ,Iraq,Middle east,2.8,3,Medium,High,1.8,1.5,2,2.9,2.8,3,3.5,3.4,3.5,2021-01-28,Jan,2021
ITA002,Mixed migration flows in Italy,International displacement,Country,Yes,Individual,Mixed Migration,ITA,Italy,Europe,,,,Low,2.9,1.7,3.4,,,,1.5,1.4,1.5,2019-04-17,Jan,2021
JOR002,Syrian refugees in Jordan,International displacement,Country,Yes,Individual,Syrian refugees,JOR,Jordan,Middle east,3.1,4,High,High,2.8,3,2.7,3.8,3.5,4,2.3,2.5,2,2021-01-31,Jan,2021
KEN001,Multiple crisis in Kenya ,Multiple crises country,Country,Yes,Aggregated,Country level ,KEN,Kenya,Africa,3,3,Medium,High,3.6,4.9,2.6,2.8,3.6,2,2.7,2.9,2.5,2021-01-28,Jan,2021
KEN002,Refugee situation in Kenya,International displacement,Country,No,Individual,Refugee situation,KEN,Kenya,Africa,2.8,3,Medium,Medium,2.9,1.9,3.3,2.9,2.8,3,2.5,2.9,2,2021-01-28,Jan,2021
KEN003,Drought in Kenya,Drought,Country,No,Individual,Drought,KEN,Kenya,Africa,2.9,3,Medium,Low,3.6,4.9,2.6,2.7,3.3,2,2.7,2.9,2.5,2020-12-01,Jan,2021
KEN005,Flooding and Landslides in Kenya,Flood,Country,No,Individual,Flooding and Landslides,KEN,Kenya,Africa,2.2,3,Medium,Medium,3.1,4.4,2.2,1.4,1.8,1,2.5,2.9,2,2020-12-01,Jan,2021
LBN002,Syrian refugees in Lebanon,International displacement,Country,No,Individual,Syrian refugees,LBN,Lebanon,Middle east,3.4,4,High,Very High,3.3,3.6,3.1,3.9,3.8,4,2.7,2.8,2.5,2021-01-31,Jan,2021
LBN004,Socioeconomic crisis in Lebanon,Political and economic crisis,Country,Yes,Individual,Socioeconomic crisis,LBN,Lebanon,Middle east,3.5,4,High,Medium,2.9,3.6,2.4,4.2,4.3,4,2.9,2.8,3,2021-01-31,Jan,2021
LBN005,Explosion in Beirut,Industrial Accidents,Country,No,Individual,Beirut Explosion,LBN,Lebanon,Middle east,3.2,4,High,High,3.3,1,4,3.2,3.3,3,3.2,2.8,3.5,2020-12-01,Jan,2021
LBY001,Complex crisis in Libya,Multiple crises country,Country,Yes,Aggregated,Complex crisis,LBY,Libya,Africa,4.2,5,Very High,High,4,4.5,3.7,4.2,3.4,5,4.4,3.6,5,2020-12-01,Jan,2021
LBY002,Mixed migration flows in Libya,International displacement,Country,No,Individual,Mixed Migration,LBY,Libya,Africa,3,3,Medium,High,3.8,4.5,3.3,2.3,2.5,2,3.3,3.6,3,2020-12-01,Jan,2021
LSO002,Drought in Lesotho,Drought,Country,Yes,Individual,Drought,LSO,Lesotho,Africa,2.5,3,Medium,High,2.2,3,1.8,3.5,2.9,4,1.2,1.4,1,2020-12-01,Jan,2021
MAR002,Mixed migration flows in Morocco,International displacement,Country,Yes,Individual,Mixed Migration,MAR,Morocco,Africa,,,,Very Low,3.7,4.8,2.8,,,,2.1,3,1,2020-12-01,Jan,2021
MDG002,Drought in Madagascar,Drought,Country,No,Individual,Drought,MDG,Madagascar,Africa,3,3,Medium,High,3,1.6,3.6,3.8,3.6,4,1.7,2.3,1,2021-01-29,Jan,2021
MEX001,Multiple crisis in Mexico,Multiple crises country,Country,Yes,Aggregated,Country Level,MEX,Mexico,Americas,,,,Low,4.6,4.6,4.6,,,,3.4,3.2,3.5,2021-01-28,Jan,2021
MEX002,Criminal Violence in Mexico,Other type of violence,Country,No,Individual,Criminal Violence,MEX,Mexico,Americas,,,,Low,4.2,3.9,4.4,,,,3.1,3.2,3,2021-01-28,Jan,2021
MEX003,Mixed Migration in Mexico,International displacement,Country,No,Individual,Mixed Migration,MEX,Mexico,Americas,,,,Low,3.5,4.2,3,,,,2.9,3.2,2.5,2021-01-28,Jan,2021
MEX004,Hurricane Eta and Iota in Southern Mexico,Tropical cyclone,Country,No,Individual,Hurricane Eta and Iota,MEX,Mexico,Americas,1.7,2,Low,Very High,2,2.1,2,0.7,0.4,1,2.9,3.2,2.5,2021-01-28,Jan,2021
MLI001,Complex crisis in Mali,Complex crisis,Country,Yes,Individual,Complex crisis,MLI,Mali,Africa,3.8,4,High,High,4,4.8,3.5,3.7,4.4,3,3.9,3.1,4.5,2021-01-29,Jan,2021
MMR001,Multiple crises in Myanmar,Multiple crises country,Country,Yes,Aggregated,Country level,MMR,Myanmar,Asia,3.5,4,High,High,3.3,2.7,3.6,3.7,3.3,4,3.5,3.4,3.5,2020-12-16,Jan,2021
MMR002,Rakhine Conflict,Conflict,Country,No,Individual,Rakhine conflict,MMR,Myanmar,Asia,3.5,4,High,High,3.1,1.3,3.7,3.6,3.1,4,3.7,3.4,4,2020-12-16,Jan,2021
MMR003,Kachin and Shan Conflict,Conflict,Country,No,Individual,Kachin and Shan conflict,MMR,Myanmar,Asia,2.6,3,Medium,High,2.4,2.3,2.5,2.1,2.2,2,3.5,3.4,3.5,2020-12-16,Jan,2021
MOZ001,Multiple Crises in Mozambique,Multiple crises country,Country,Yes,Aggregated,Multiple Crises,MOZ,Mozambique,Africa,3.6,4,High,High,3.8,3.6,3.9,3.7,4.4,3,3.3,3.6,3,2021-01-28,Jan,2021
MOZ004,Cabo Delgado Islamist Insurgency,Other type of violence,Country,No,Individual,Violent Insurgency in Cabo Delgado,MOZ,Mozambique,Africa,3.5,4,High,Very High,2.6,1.2,3.1,3.8,3.5,4,3.8,3.6,4,2021-01-28,Jan,2021
MOZ006,Food Security Crisis in Mozambique,Food Security,Country,No,Individual,Food Security Crisis,MOZ,Mozambique,Africa,3.4,4,High,High,3,3.4,2.8,3.6,4.1,3,3.3,3.6,3,2021-01-29,Jan,2021
MRT002,Refugees from Mali in Mauritania,International displacement,Country,No,Individual,Malian refugees,MRT,Mauritania,Africa,2.2,3,Medium,Medium,2.4,0,3.2,2.2,1.3,3,2.1,2.6,1.5,2020-12-01,Jan,2021
MRT003,Food Security in Mauritania,Drought,Country,Yes,Individual,Food security,MRT,Mauritania,Africa,2.8,3,Medium,Medium,3.2,4.4,2.3,2.9,2.8,3,2.3,2.6,2,2020-12-17,Jan,2021
MWI002,Complex crisis in Malawi,Complex crisis,Country,Yes,Individual,Complex,MWI,Malawi,Africa,2.8,3,Medium,High,3.1,4.3,2.2,3.5,4,3,1.5,2,1,2021-01-29,Jan,2021
NAM002,Food Security Crisis in Namibia,Food Security,Country,Yes,Individual,Food Security Crisis,NAM,Namibia,Africa,2.1,3,Medium,Medium,1.5,1.6,1.4,2.9,2.7,3,1.3,1.5,1,2020-12-01,Jan,2021
